wavelength_nm,value
414.13,1977.0
417.32,1969.0
420.52,2019.0
423.72,2042.0
426.91,2094.0
430.11,2285.0
433.31,2019.0
436.5,2166.0
439.7,2224.0
442.9,2233.0
446.09,2177.0
449.29,2145.0
452.49,2271.0
455.68,2175.0
458.88,2270.0
462.08,2241.0
465.27,2233.0
468.47,2235.0
471.67,2237.0
474.86,2230.0
478.06,2335.0
481.26,2351.0
484.45,2406.0
487.65,2396.0
490.85,2336.0
494.04,2361.0
497.24,2390.0
500.43,2516.0
503.63,2406.0
506.83,2418.0
510.03,2418.0
513.22,2499.0
516.42,2617.0
519.61,2480.0
522.81,2398.0
526.01,2530.0
529.2,2421.0
532.4,2513.0
535.6,2553.0
538.79,2600.0
541.99,2625.0
545.19,2591.0
548.38,2588.0
551.58,2564.0
554.78,2638.0
557.97,2696.0
561.17,2682.0
564.37,2650.0
567.56,2658.0
570.76,2704.0
573.96,2682.0
577.15,2636.0
580.35,2629.0
583.55,2655.0
586.74,2713.0
589.94,2771.0
593.14,2709.0
596.33,2679.0
599.53,2714.0
602.73,2736.0
605.92,2772.0
609.12,2756.0
612.32,2793.0
615.51,2808.0
618.71,2750.0
621.91,2773.0
625.1,2796.0
628.3,2810.0
631.5,2772.0
634.69,2836.0
637.89,2779.0
641.09,2835.0
644.28,2902.0
647.48,2915.0
650.67,2824.0
653.87,2807.0
657.07,2867.0
660.27,2688.0
663.46,2810.0
666.66,2839.0
669.85,2886.0
673.05,2885.0
676.25,2883.0
679.45,2847.0
682.64,2893.0
685.84,3113.0
689.03,3102.0
692.23,3091.0
695.43,3080.0
698.62,3069.0
701.82,3058.0
705.02,3047.0
708.21,3036.0
711.41,3025.0
714.61,3014.0
717.8,3003.0
721.0,2992.0
724.2,2981.0
727.39,2970.0
730.59,2959.0
733.79,2948.0
736.98,2937.0
740.18,2926.0
743.38,2979.0
746.57,3028.0
749.77,2990.0
752.97,2995.0
756.16,3000.0
759.36,3005.0
762.56,3011.0
765.75,3016.0
768.95,3021.0
772.15,3026.0
775.34,3082.0
778.54,3146.0
781.74,3113.0
784.93,3127.0
788.13,3127.0
791.33,3130.0
794.52,3133.0
797.72,3136.0
800.92,3139.0
804.11,3141.0
807.31,3144.0
810.51,3147.0
813.7,3150.0
816.9,3153.0
820.1,3156.0
823.29,3159.0
826.49,3161.0
829.68,3164.0
832.88,3167.0
836.08,3170.0
839.28,3173.0
842.47,3176.0
845.67,3218.0
848.86,3222.0
852.06,3156.0
855.26,3286.0
858.46,3152.0
861.65,3175.0
864.85,3328.0
868.04,3227.0
871.24,3080.0
874.44,3249.0
877.63,3215.0
880.83,3223.0
884.03,3234.0
887.22,3283.0
890.42,3349.0
893.62,3384.0
896.81,3381.0
900.01,3386.0
903.21,3390.0
906.4,3396.0
909.6,3402.0
912.8,3407.0
915.99,3413.0
919.19,3421.0
922.39,3430.0
925.58,3438.0
928.78,3445.0
931.98,3453.0
935.17,3464.0
938.37,3473.0
941.57,3481.0
944.76,3488.0
947.96,3498.0
951.16,3510.0
954.35,3521.0
957.55,3529.0
960.75,3535.0
963.94,3542.0
967.14,3548.0
970.1,3552.0
975.54,3557.0
980.98,3565.0
986.42,3569.0
991.86,3573.0
997.3,3583.0
1002.74,3598.0
1008.18,3610.0
1013.62,3701.0
1019.06,3788.0
1024.5,3730.0
1029.95,3724.0
1035.39,3650.0
1040.83,3644.0
1046.27,3718.0
1051.71,3760.0
1057.15,3861.0
1062.59,3859.0
1068.03,3882.0
1073.47,3767.0
1078.91,3770.0
1084.35,3740.0
1089.79,3747.0
1095.23,3739.0
1100.67,3724.0
1106.11,3713.0
1111.55,3703.0
1116.99,3697.0
1122.43,3689.0
1127.87,3674.0
1133.32,3663.0
1138.76,3665.0
1144.2,3670.0
1149.64,3669.0
1155.08,3656.0
1160.52,3640.0
1165.96,3629.0
1171.4,3615.0
1176.84,3599.0
1182.28,3588.0
1187.72,3617.0
1193.16,3646.0
1198.6,3918.0
1204.04,3776.0
1209.48,3840.0
1214.92,3802.0
1220.36,3821.0
1225.8,3933.0
1231.24,3936.0
1236.69,4012.0
1242.13,4038.0
1247.57,4041.0
1253.01,4142.0
1258.45,4208.0
1263.89,4239.0
1269.33,4085.0
1274.77,3918.0
1280.21,4110.0
1285.65,4064.0
1291.09,4125.0
1296.53,4192.0
1301.97,4213.0
1307.41,4192.0
1312.85,4231.0
1318.29,4023.0
1323.73,4092.0
1329.17,4844.0
1334.61,4771.0
1340.06,4688.0
1345.5,4598.0
1350.94,4503.0
1356.38,4405.0
1361.82,4309.0
1367.26,4216.0
1372.7,4128.0
1378.14,4046.0
1383.58,3969.0
1389.02,3897.0
1394.46,3828.0
1399.9,3762.0
1405.34,3697.0
1410.78,3633.0
1416.22,3568.0
1421.66,3504.0
1427.1,3441.0
1432.54,3379.0
1437.98,3321.0
1443.43,3265.0
1448.87,3214.0
1454.31,3166.0
1459.75,3120.0
1465.19,3075.0
1470.63,3029.0
1476.07,2981.0
1481.51,2927.0
1486.95,2866.0
1492.39,2804.0
1497.83,2968.0
1503.27,3323.0
1508.71,3234.0
1514.15,3656.0
1519.59,3710.0
1525.03,3852.0
1530.47,3882.0
1535.91,4015.0
1541.35,4122.0
1546.8,4114.0
1552.24,4130.0
1557.68,4165.0
1563.12,4110.0
1568.56,4307.0
1574.0,4161.0
1579.44,4001.0
1584.88,4062.0
1590.32,4092.0
1595.76,4014.0
1601.2,4152.0
1606.64,4109.0
1612.08,4178.0
1617.52,4031.0
1622.96,4055.0
1628.4,4148.0
1633.84,4116.0
1639.28,4171.0
1644.72,4104.0
1650.17,4101.0
