wavelength_nm,value
414.13,134.0
417.32,179.0
420.52,184.0
423.72,152.0
426.91,188.0
430.11,182.0
433.31,172.0
436.5,199.0
439.7,199.0
442.9,190.0
446.09,210.0
449.29,183.0
452.49,207.0
455.68,159.0
458.88,214.0
462.08,207.0
465.27,197.0
468.47,170.0
471.67,191.0
474.86,196.0
478.06,196.0
481.26,217.0
484.45,213.0
487.65,216.0
490.85,191.0
494.04,201.0
497.24,212.0
500.43,232.0
503.63,226.0
506.83,235.0
510.03,246.0
513.22,257.0
516.42,280.0
519.61,260.0
522.81,251.0
526.01,279.0
529.2,267.0
532.4,301.0
535.6,296.0
538.79,318.0
541.99,309.0
545.19,319.0
548.38,326.0
551.58,328.0
554.78,324.0
557.97,364.0
561.17,376.0
564.37,360.0
567.56,365.0
570.76,376.0
573.96,368.0
577.15,349.0
580.35,364.0
583.55,355.0
586.74,377.0
589.94,369.0
593.14,349.0
596.33,365.0
599.53,346.0
602.73,353.0
605.92,340.0
609.12,339.0
612.32,328.0
615.51,317.0
618.71,322.0
621.91,321.0
625.1,323.0
628.3,310.0
631.5,302.0
634.69,302.0
637.89,303.0
641.09,315.0
644.28,305.0
647.48,320.0
650.67,313.0
653.87,308.0
657.07,283.0
660.27,264.0
663.46,259.0
666.66,237.0
669.85,241.0
673.05,230.0
676.25,248.0
679.45,241.0
682.64,239.0
685.84,304.0
689.03,299.0
692.23,293.0
695.43,288.0
698.62,282.0
701.82,277.0
705.02,271.0
708.21,266.0
711.41,260.0
714.61,255.0
717.8,249.0
721.0,244.0
724.2,238.0
727.39,233.0
730.59,227.0
733.79,222.0
736.98,216.0
740.18,211.0
743.38,204.0
746.57,219.0
749.77,207.0
752.97,207.0
756.16,207.0
759.36,207.0
762.56,207.0
765.75,207.0
768.95,207.0
772.15,207.0
775.34,233.0
778.54,202.0
781.74,237.0
784.93,209.0
788.13,232.0
791.33,229.0
794.52,225.0
797.72,222.0
800.92,218.0
804.11,215.0
807.31,211.0
810.51,208.0
813.7,204.0
816.9,200.0
820.1,197.0
823.29,193.0
826.49,190.0
829.68,186.0
832.88,183.0
836.08,179.0
839.28,176.0
842.47,172.0
845.67,197.0
848.86,169.0
852.06,193.0
855.26,182.0
858.46,170.0
861.65,175.0
864.85,202.0
868.04,196.0
871.24,162.0
874.44,186.0
877.63,152.0
880.83,164.0
884.03,155.0
887.22,197.0
890.42,144.0
893.62,161.0
896.81,161.0
900.01,159.0
903.21,158.0
906.4,156.0
909.6,154.0
912.8,153.0
915.99,151.0
919.19,149.0
922.39,147.0
925.58,146.0
928.78,144.0
931.98,142.0
935.17,141.0
938.37,139.0
941.57,137.0
944.76,136.0
947.96,134.0
951.16,132.0
954.35,130.0
957.55,129.0
960.75,127.0
963.94,125.0
967.14,124.0
970.1,122.0
975.54,120.0
980.98,117.0
986.42,115.0
991.86,112.0
997.3,109.0
1002.74,106.0
1008.18,92.0
1013.62,111.0
1019.06,102.0
1024.5,97.0
1029.95,99.0
1035.39,100.0
1040.83,95.0
1046.27,97.0
1051.71,107.0
1057.15,99.0
1062.59,104.0
1068.03,114.0
1073.47,101.0
1078.91,112.0
1084.35,111.0
1089.79,110.0
1095.23,109.0
1100.67,108.0
1106.11,107.0
1111.55,107.0
1116.99,106.0
1122.43,105.0
1127.87,104.0
1133.32,103.0
1138.76,102.0
1144.2,101.0
1149.64,100.0
1155.08,100.0
1160.52,99.0
1165.96,98.0
1171.4,97.0
1176.84,96.0
1182.28,95.0
1187.72,94.0
1193.16,94.0
1198.6,98.0
1204.04,94.0
1209.48,101.0
1214.92,98.0
1220.36,101.0
1225.8,99.0
1231.24,100.0
1236.69,106.0
1242.13,104.0
1247.57,115.0
1253.01,107.0
1258.45,112.0
1263.89,112.0
1269.33,111.0
1274.77,103.0
1280.21,109.0
1285.65,104.0
1291.09,99.0
1296.53,99.0
1301.97,106.0
1307.41,106.0
1312.85,105.0
1318.29,104.0
1323.73,111.0
1329.17,149.0
1334.61,146.0
1340.06,143.0
1345.5,140.0
1350.94,137.0
1356.38,134.0
1361.82,131.0
1367.26,128.0
1372.7,125.0
1378.14,122.0
1383.58,119.0
1389.02,116.0
1394.46,113.0
1399.9,110.0
1405.34,108.0
1410.78,105.0
1416.22,102.0
1421.66,99.0
1427.1,96.0
1432.54,93.0
1437.98,90.0
1443.43,88.0
1448.87,85.0
1454.31,82.0
1459.75,79.0
1465.19,77.0
1470.63,74.0
1476.07,71.0
1481.51,68.0
1486.95,65.0
1492.39,63.0
1497.83,49.0
1503.27,56.0
1508.71,43.0
1514.15,48.0
1519.59,60.0
1525.03,53.0
1530.47,50.0
1535.91,58.0
1541.35,58.0
1546.8,58.0
1552.24,55.0
1557.68,64.0
1563.12,56.0
1568.56,66.0
1574.0,58.0
1579.44,56.0
1584.88,48.0
1590.32,65.0
1595.76,64.0
1601.2,69.0
1606.64,70.0
1612.08,76.0
1617.52,60.0
1622.96,60.0
1628.4,74.0
1633.84,56.0
1639.28,76.0
1644.72,72.0
1650.17,74.0
1655.61,74.0
1661.05,66.0
1666.49,76.0
1671.93,66.0
1677.37,70.0
1682.81,64.0
1688.25,78.0
1693.69,74.0
1699.13,69.0
1704.57,69.0
1710.01,71.0
1715.45,67.0
1720.89,66.0
1726.33,67.0
1731.77,72.0
1737.21,75.0
1742.65,53.0
1748.09,69.0
1753.54,76.0
1758.98,75.0
1764.42,69.0
1769.86,73.0
1775.3,83.0
1780.74,82.0
1786.18,81.0
1791.62,79.0
1797.06,78.0
1802.5,77.0
1807.94,75.0
1813.38,74.0
1818.82,72.0
1824.26,71.0
1829.7,70.0
1835.14,68.0
1840.58,67.0
1846.02,66.0
1851.46,64.0
1856.91,63.0
1862.35,62.0
1867.79,60.0
1873.23,59.0
1878.67,58.0
1884.11,56.0
1889.55,55.0
1894.99,54.0
1900.43,53.0
1905.87,51.0
1911.31,50.0
1916.75,49.0
1922.19,47.0
1927.63,46.0
1933.07,45.0
1938.51,44.0
1943.95,42.0
