wavelength_nm,value
414.13,268.0
417.32,328.0
420.52,338.0
423.72,337.0
426.91,290.0
430.11,358.0
433.31,329.0
436.5,352.0
439.7,361.0
442.9,385.0
446.09,371.0
449.29,356.0
452.49,369.0
455.68,361.0
458.88,404.0
462.08,410.0
465.27,388.0
468.47,376.0
471.67,392.0
474.86,403.0
478.06,423.0
481.26,441.0
484.45,485.0
487.65,434.0
490.85,466.0
494.04,484.0
497.24,503.0
500.43,540.0
503.63,533.0
506.83,528.0
510.03,547.0
513.22,578.0
516.42,618.0
519.61,568.0
522.81,582.0
526.01,636.0
529.2,614.0
532.4,655.0
535.6,654.0
538.79,702.0
541.99,688.0
545.19,694.0
548.38,722.0
551.58,733.0
554.78,758.0
557.97,768.0
561.17,773.0
564.37,761.0
567.56,790.0
570.76,821.0
573.96,809.0
577.15,801.0
580.35,796.0
583.55,810.0
586.74,862.0
589.94,811.0
593.14,842.0
596.33,821.0
599.53,832.0
602.73,845.0
605.92,830.0
609.12,844.0
612.32,844.0
615.51,860.0
618.71,840.0
621.91,860.0
625.1,905.0
628.3,862.0
631.5,874.0
634.69,866.0
637.89,869.0
641.09,915.0
644.28,935.0
647.48,943.0
650.67,892.0
653.87,895.0
657.07,912.0
660.27,871.0
663.46,912.0
666.66,897.0
669.85,906.0
673.05,910.0
676.25,904.0
679.45,890.0
682.64,911.0
685.84,991.0
689.03,964.0
692.23,937.0
695.43,911.0
698.62,884.0
701.82,857.0
705.02,831.0
708.21,804.0
711.41,777.0
714.61,751.0
717.8,724.0
721.0,697.0
724.2,671.0
727.39,644.0
730.59,618.0
733.79,591.0
736.98,564.0
740.18,538.0
743.38,549.0
746.57,568.0
749.77,556.0
752.97,556.0
756.16,556.0
759.36,556.0
762.56,556.0
765.75,556.0
768.95,556.0
772.15,556.0
775.34,605.0
778.54,594.0
781.74,581.0
784.93,589.0
788.13,605.0
791.33,598.0
794.52,591.0
797.72,584.0
800.92,578.0
804.11,571.0
807.31,564.0
810.51,557.0
813.7,550.0
816.9,544.0
820.1,537.0
823.29,530.0
826.49,523.0
829.68,516.0
832.88,510.0
836.08,503.0
839.28,496.0
842.47,489.0
845.67,458.0
848.86,411.0
852.06,451.0
855.26,447.0
858.46,418.0
861.65,444.0
864.85,465.0
868.04,420.0
871.24,385.0
874.44,416.0
877.63,436.0
880.83,412.0
884.03,376.0
887.22,399.0
890.42,371.0
893.62,382.0
896.81,382.0
900.01,374.0
903.21,367.0
906.4,359.0
909.6,352.0
912.8,344.0
915.99,337.0
919.19,329.0
922.39,321.0
925.58,314.0
928.78,306.0
931.98,299.0
935.17,291.0
938.37,283.0
941.57,276.0
944.76,268.0
947.96,261.0
951.16,253.0
954.35,245.0
957.55,238.0
960.75,230.0
963.94,223.0
967.14,215.0
970.1,208.0
975.54,200.0
980.98,188.0
986.42,175.0
991.86,162.0
997.3,149.0
1002.74,136.0
1008.18,119.0
1013.62,122.0
1019.06,140.0
1024.5,137.0
1029.95,137.0
1035.39,141.0
1040.83,133.0
1046.27,136.0
1051.71,147.0
1057.15,160.0
1062.59,164.0
1068.03,170.0
1073.47,164.0
1078.91,163.0
1084.35,160.0
1089.79,158.0
1095.23,156.0
1100.67,154.0
1106.11,151.0
1111.55,149.0
1116.99,147.0
1122.43,144.0
1127.87,142.0
1133.32,140.0
1138.76,137.0
1144.2,135.0
1149.64,133.0
1155.08,130.0
1160.52,128.0
1165.96,126.0
1171.4,123.0
1176.84,121.0
1182.28,119.0
1187.72,117.0
1193.16,114.0
1198.6,117.0
1204.04,110.0
1209.48,116.0
1214.92,109.0
1220.36,120.0
1225.8,117.0
1231.24,117.0
1236.69,121.0
1242.13,123.0
1247.57,116.0
1253.01,130.0
1258.45,124.0
1263.89,132.0
1269.33,125.0
1274.77,123.0
1280.21,122.0
1285.65,113.0
1291.09,120.0
1296.53,130.0
1301.97,131.0
1307.41,129.0
1312.85,131.0
1318.29,114.0
1323.73,133.0
1329.17,140.0
1334.61,136.0
1340.06,131.0
1345.5,126.0
1350.94,121.0
1356.38,115.0
1361.82,110.0
1367.26,105.0
1372.7,100.0
1378.14,96.0
1383.58,91.0
1389.02,87.0
1394.46,82.0
1399.9,78.0
1405.34,74.0
1410.78,70.0
1416.22,65.0
1421.66,61.0
1427.1,57.0
1432.54,53.0
1437.98,49.0
1443.43,44.0
1448.87,40.0
1454.31,36.0
1459.75,32.0
1465.19,28.0
1470.63,24.0
1476.07,19.0
1481.51,15.0
1486.95,11.0
1492.39,6.0
1497.83,33.0
1503.27,48.0
1508.71,30.0
1514.15,37.0
1519.59,33.0
1525.03,43.0
1530.47,48.0
1535.91,44.0
1541.35,46.0
1546.8,53.0
1552.24,53.0
1557.68,60.0
1563.12,54.0
1568.56,49.0
1574.0,53.0
1579.44,48.0
1584.88,58.0
1590.32,51.0
1595.76,63.0
1601.2,52.0
1606.64,53.0
1612.08,43.0
1617.52,51.0
1622.96,59.0
1628.4,55.0
1633.84,59.0
1639.28,56.0
1644.72,55.0
1650.17,50.0
1655.61,62.0
1661.05,65.0
1666.49,69.0
1671.93,67.0
1677.37,67.0
1682.81,49.0
1688.25,67.0
1693.69,54.0
1699.13,57.0
1704.57,67.0
1710.01,45.0
1715.45,60.0
1720.89,54.0
1726.33,40.0
1731.77,44.0
1737.21,37.0
1742.65,45.0
1748.09,46.0
1753.54,50.0
1758.98,51.0
1764.42,40.0
1769.86,49.0
1775.3,36.0
1780.74,47.0
1786.18,57.0
1791.62,68.0
1797.06,78.0
1802.5,88.0
1807.94,98.0
1813.38,108.0
1818.82,118.0
1824.26,128.0
1829.7,138.0
1835.14,147.0
1840.58,157.0
1846.02,167.0
1851.46,177.0
1856.91,187.0
1862.35,197.0
1867.79,207.0
1873.23,217.0
1878.67,227.0
1884.11,237.0
1889.55,247.0
1894.99,258.0
1900.43,268.0
1905.87,278.0
1911.31,288.0
1916.75,299.0
1922.19,310.0
1927.63,321.0
1933.07,332.0
1938.51,343.0
1943.95,355.0
1949.39,367.0
1954.83,380.0
1960.28,392.0
1965.72,405.0
1971.16,417.0
1976.6,429.0
1982.04,441.0
1987.48,452.0
1992.92,464.0
1998.36,450.0
2003.8,717.0
2009.24,546.0
2014.68,643.0
2020.12,635.0
2025.56,0.0
2031.0,6.0
2036.44,0.0
2041.88,7.0
2047.32,9.0
2052.76,642.0
2058.2,4.0
2063.65,654.0
2069.09,0.0
2074.53,9.0
2079.97,0.0
2085.41,14.0
2090.85,21.0
2096.29,39.0
2101.73,15.0
2107.17,35.0
2112.61,0.0
2118.05,8.0
2123.49,12.0
2128.93,0.0
2134.37,9.0
2139.81,0.0
2145.25,7.0
2150.69,0.0
2156.13,15.0
2161.57,10.0
2167.02,13.0
2172.46,777.0
2177.9,1.0
2183.34,19.0
2188.78,19.0
2194.22,783.0
2199.66,0.0
2205.1,839.0
2210.54,816.0
2215.98,829.0
2221.42,0.0
2226.86,1.0
2232.3,0.0
2237.74,23.0
2243.18,0.0
2248.62,769.0
2254.06,0.0
2259.5,12.0
2264.94,715.0
2270.39,716.0
2275.83,700.0
2281.27,685.0
2286.71,666.0
2292.15,665.0
2297.59,673.0
2303.03,0.0
2308.47,11.0
2313.91,24.0
2319.35,0.0
2324.79,634.0
2330.23,589.0
2335.67,546.0
2341.11,574.0
2346.55,520.0
2351.99,0.0
2357.43,5.0
2362.87,494.0
2368.32,534.0
2373.76,540.0
2379.2,492.0
2384.64,564.0
2390.08,549.0
2395.52,518.0
2400.96,453.0
2406.4,474.0
2411.84,420.0
2417.28,640.0
2422.72,540.0
2428.16,435.0
2433.6,582.0
2439.04,442.0
2444.48,401.0
2449.92,815.0
2455.36,575.0
2460.8,471.0
2466.24,507.0
2471.69,836.0
2477.13,722.0
2482.57,2762.0
2488.01,4239.0
2493.45,7570.0
2498.89,2254.0
